#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="PIAT",unit_software_part_number="006-B1727-37",software_version="9.41",system_id="60002CE0956A8",unit="PFD1",airframe_hours="723.1",engine_hours="401.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),NAV Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),Network Status,Transponder Code,Transponder Mode,Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Fuel Qty (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Coolant Temp 1 (deg F),Coolant Temp 2 (deg F),Volts,Amps,EGT1 (deg F),EGT2 (deg F),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NAV2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,E1 MAP,E1 RPM,E1 OilP,E1 OilT,FQty1,E1 FFlow,E1 FPres,PTrim,,,Volts1,Amps1,E1 EGT1,E1 EGT2,,
2026-07-11,14:20:15,22:20:15,-08:00,+33.6364558,-116.1611348,-20,3D,598832.8,0.0,,0,0,0.02,,75,20,7,49,-92,17,10.5,11,,,-0.009,1.002,-0.374,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-10.8,40.3,2903,,,,040001F8 A35 A35 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:15,22:20:15,-08:00,+33.6364550,-116.1611327,-20,3D,598833.0,0.0,,0,0,0.01,,72,20,8,49,-92,17,10.4,11,,,-0.010,1.002,-0.386,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,40.3,2904,,,,040001F8 A35 A35 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:16,22:20:16,-08:00,+33.6364483,-116.1611323,-20,3D,598834.0,0.0,,0,0,0.00,,65,20,8,48,-92,15,10.5,11,,,-0.008,1.003,-0.431,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-10.8,40.3,2903,,,,040001F8 A38 A38 *,,,,2,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:17,22:20:17,-08:00,+33.6364395,-116.1611353,-19,3D-,598835.0,0.0,,0,0,0.00,,61,20,8,48,-92,4,10.5,11,,,-0.009,1.001,-0.463,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,040001F8 A40 A40 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:18,22:20:18,-08:00,+33.6364322,-116.1611402,-19,3D-,598836.0,0.0,,0,0,0.01,,57,20,8,47,-93,-12,10.5,11,,,-0.008,1.002,-0.473,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2902,,,,020001F8 A40 A40 *,,,,4,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:19,22:20:19,-08:00,+33.6364281,-116.1611445,-19,3D-,598837.0,0.0,,0,0,0.01,,54,20,8,47,-93,-17,10.7,11,,,-0.012,1.000,-0.482,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2902,,,,020001F8 A40 A40 *,,,,7,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:20,22:20:20,-08:00,+33.6364250,-116.1611483,-19,3D-,598838.0,0.0,,0,0,0.00,,52,20,8,48,-93,-8,10.9,11,,,-0.009,1.001,-0.483,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2902,,,,020001F8 A40 A40 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:21,22:20:21,-08:00,+33.6364240,-116.1611532,-19,3D-,598839.0,0.0,,0,0,0.00,,50,20,7,48,-92,4,10.9,11,,,-0.009,1.000,-0.478,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,020001F8 A40 A40 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:22,22:20:22,-08:00,+33.6364226,-116.1611584,-19,3D-,598840.0,0.0,,0,0,0.00,,48,20,7,48,-92,7,10.9,11,,,-0.014,1.002,-0.474,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,020001F8 A40 A40 *,,,,10,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:23,22:20:23,-08:00,+33.6364218,-116.1611627,-19,3D-,598841.0,0.0,,0,0,0.00,,46,20,7,48,-92,7,10.7,11,,,-0.008,1.002,-0.467,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2902,,,,020001F8 A40 A40 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:24,22:20:24,-08:00,+33.6364126,-116.1611749,-19,3D-,598842.0,0.0,,0,0,-0.00,,44,20,7,48,-92,9,10.7,11,,,-0.010,1.002,-0.450,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,020001F8 A40 A40 *,,,,2,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:25,22:20:25,-08:00,+33.6364035,-116.1611869,-19,3D-,598843.0,0.0,,0,0,-0.00,,41,20,7,48,-92,7,10.6,11,,,-0.011,1.002,-0.430,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,020001F8 A40 A40 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:26,22:20:26,-08:00,+33.6363987,-116.1611953,-19,3D-,598844.0,0.0,,0,0,-0.00,,39,20,7,48,-92,4,10.6,11,,,-0.010,1.001,-0.411,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,020001F8 A40 A40 *,,,,4,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:27,22:20:27,-08:00,+33.6363955,-116.1612026,-19,3D-,598845.0,0.0,,0,0,-0.00,,37,20,7,48,-92,4,10.7,11,,,-0.010,1.002,-0.395,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,080101F8 A43 A43 *,,,,5,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
2026-07-11,14:20:28,22:20:28,-08:00,+33.6363936,-116.1612082,-19,3D-,598846.0,0.0,,0,0,0.00,,36,20,7,49,-92,5,10.9,11,,,-0.009,1.002,-0.380,,172,,,,29.77,123.000,121.500,116.200,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-10.8,40.3,2903,,,,080101F8 A46 A46 *,,,,3,,,1200,ALT,29.9,0,2,139,14,0.0,0.3,5,139,140,13.1,-5,115,120,OIL PRESS,
